Year,Year2,Year3,State,Total Rev
12/1/10,2010-00-01,1/1/10,Hawaii,0.142607942
12/1/10,2010-00-01,1/1/10,Idaho,0.017938471
12/1/10,2010-00-01,1/1/10,Illinois,0.19325902
12/1/10,2010-00-01,1/1/10,Indiana,0.210172272
12/1/10,2010-00-01,1/1/10,Iowa,0.112551235
12/1/10,2010-00-01,1/1/10,Kansas,0.171542222
12/1/10,2010-00-01,1/1/10,Kentucky,0.178248468
12/1/10,2010-00-01,1/1/10,Louisiana,0.380588446
12/1/10,2010-00-01,1/1/10,Maine,0.241644541
12/1/10,2010-00-01,1/1/10,Maryland,0.318681304
12/1/10,2010-00-01,1/1/10,Massachusetts,0.126591751
12/1/10,2010-00-01,1/1/10,Michigan,-0.012383478
12/1/10,2010-00-01,1/1/10,Minnesota,0.12814715
12/1/10,2010-00-01,1/1/10,Mississippi,0.211352795
12/1/10,2010-00-01,1/1/10,Missouri,0.074674389
12/1/10,2010-00-01,1/1/10,Montana,0.219934704
12/1/10,2010-00-01,1/1/10,Nebraska,0.16879775
12/1/10,2010-00-01,1/1/10,Nevada,0.139489859
12/1/10,2010-00-01,1/1/10,New Hampshire,0.304467601
12/1/10,2010-00-01,1/1/10,New Jersey,0.178024959
12/1/10,2010-00-01,1/1/10,New Mexico,0.139241641
12/1/10,2010-00-01,1/1/10,New York,0.346379727
12/1/10,2010-00-01,1/1/10,North Carolina,0.263928494
12/1/10,2010-00-01,1/1/10,North Dakota,0.433195991
12/1/10,2010-00-01,1/1/10,Ohio,0.146441398
12/1/10,2010-00-01,1/1/10,Oklahoma,0.034659677
12/1/10,2010-00-01,1/1/10,Oregon,0.052254626
12/1/10,2010-00-01,1/1/10,Pennsylvania,0.283639898
12/1/10,2010-00-01,1/1/10,Rhode Island,0.231268982
12/1/10,2010-00-01,1/1/10,South Carolina,0.066747239
12/1/10,2010-00-01,1/1/10,South Dakota,0.176063556
12/1/10,2010-00-01,1/1/10,Tennessee,0.103641456
12/1/10,2010-00-01,1/1/10,Texas,0.102358702
12/1/10,2010-00-01,1/1/10,Utah,0.067750182
12/1/10,2010-00-01,1/1/10,Vermont,0.295880017
